Year,Cyanophycea,Cryptophycea,Dinophyceae,Prymnesiophycea,Chrysophycea,Dictyochophycea,Bacillariophycea,Raphidophycea,Euglenophycea,Prasinophycea,Chlorophycea,Uklassifisert,Kinoplastidea,Choanophycea,Rhizopoda,Kiselalger,Dinoflagellater,Flagellater
1994,0,184600,98000,415300,0,46100,4348000,0,0,11500,NA,3657400,11500,115300,0,4348000,98000,4314700
1995,0,207700,73040,646100,0,0,2822100,0,600,0,NA,1753600,3000,207700,0,2822100,73040,2818600
1996,0,106800,14800,57800,0,0,343200,0,0,0,NA,1725500,0,4400,0,343200,14800,2557100
1997,0,73050,33570,0,0,0,84250,0,0,0,NA,1557800,13300,13350,0,84250,33570,1618550
1998,0,178800,49150,34600,0,2900,80000,0,0,11550,NA,3582450,8700,187450,0,80000,49150,4150650
1999,0,132250,62600,150000,0,17000,735200,0,0,0,NA,6292400,5750,11500,0,735200,62600,6608900
2000,0,75200,15600,14100,0,0,137520,0,0,0,0,385400,7050,0,0,137520,15600,500550
2001,0,42300,50490,0,0,65800,14860,3478000,0,18800,0,1052800,9400,0,0,14860,50490,5137100
2002,0,164500,30160,159800,0,0,500060,0,0,4700,0,770800,0,18800,0,500060,30160,916500
2003,0,23500,4850,0,0,0,1906645,590,0,0,0,3272400,0,0,0,1906645,4850,3293330
2004,0,117500,30280,7050,0,9400,24020,0,0,65800,0,108100,0,9400,0,24020,30280,319600
2005,0,63450,15670,2350,0,14100,5263475,0,725,51700,0,136550,0,9400,2350,5263475,15670,280625
2006,0,9400,9400,9600,0,2400,337990,0,40,2400,0,258500,0,0,0,337990,9400,371460
2007,0,37100,33710,75200,0,51125,3814420,0,805,4700,0,865850,0,4725,2350,3814420,33710,1041855
2008,0,4700,13600,37600,0,0,130320,0,300,0,0,105800,0,0,0,130320,13600,178600
2009,0,11750,26640,22800,1200,14400,84720,80,600,3600,0,80400,0,2350,0,84720,26640,153000
2010,0,18000,17170,152750,0,0,86340,0,280,0,0,174400,0,0,0,86340,17170,220940
2011,0,9400,17620,28350,2400,0,647300,0,600,0,0,67300,0,0,0,647300,17620,415700
2012,NA,521700,139700,29500,0,8400,80,0,0,249100,NA,285600,0,0,0,80,139700,1094300
2013,0,27850,12560,0,120,0,210280,0,0,100,0,980500,0,80,NA,210280,12560,1021960
2014,0,289450,63050,0,0,0,222890,0,0,0,0,1538000,0,49000,NA,222890,63050,1862010
2015,0,114000,24400,0,0,160,112560,0,80,0,0,479400,0,0,NA,112560,24400,716160
2016,0,226800,7550,0,1700,120,24200,0,40,0,NA,2407000,0,7980,NA,24200,7550,2745850
