Station_name,Year,DisTot_max_rel,DisTot_max_month,DisTot_40perc,DisTot_60perc,DisTot_80perc
Numedalslågen,1998,108.459343493112,5,1,4,4
Numedalslågen,1999,107.007772102996,4,1,4,4
Numedalslågen,2000,87.6306644499638,5,1,4,5
Numedalslågen,2001,147.654546959245,5,1,1,1
Numedalslågen,2002,89.0130648273392,5,1,4,5
Numedalslågen,2003,121.702376624314,5,4,4,5
Numedalslågen,2004,99.2577659705106,5,3,4,4
Numedalslågen,2005,63.992983577346,6,1,6,NA
Numedalslågen,2006,126.230473591664,5,1,1,5
Numedalslågen,2007,83.9535425416644,6,1,4,6
Numedalslågen,2008,153.321750155773,5,1,4,5
Numedalslågen,2009,119.501818185095,4,1,1,4
Numedalslågen,2010,94.9242485029678,5,1,4,5
Numedalslågen,2011,80.3063766645973,4,4,4,4
Numedalslågen,2012,77.1069290752358,5,1,1,NA
Numedalslågen,2013,142.843154143442,5,1,5,5
Numedalslågen,2014,100.978001277527,5,1,1,3
Numedalslågen,2015,70.5274967339684,5,1,3,NA
Numedalslågen,2016,77.3113454433355,5,1,1,NA
Otra,1990,167.487524875691,2,1,1,1
Otra,1991,96.2769602430407,4,1,1,1
Otra,1992,84.1869426671957,5,1,1,5
Otra,1993,111.414233459973,5,1,1,1
Otra,1994,118.920008841883,5,1,1,3
Otra,1995,89.607255657472,5,1,1,1
Otra,1996,63.3103288398397,1,1,1,NA
Otra,1997,84.9868670377944,3,1,3,3
Otra,1998,87.4867535348077,4,1,1,4
Otra,1999,106.224629799903,4,1,1,1
Otra,2000,116.638935143407,5,1,1,1
Otra,2001,103.288972333049,4,1,1,1
Otra,2002,81.5156144097945,2,1,1,2
Otra,2003,79.3360432651649,1,1,1,NA
Otra,2004,78.2627287913838,3,1,1,NA
Otra,2005,127.549634142619,1,1,1,1
Otra,2006,76.1540194302273,5,1,1,NA
Otra,2007,107.943701196172,1,1,1,1
Otra,2008,136.564791120934,5,1,1,1
Otra,2009,84.3874687099597,4,1,1,4
Otra,2010,71.6345501000221,3,1,1,NA
Otra,2011,79.5940308133159,4,1,4,NA
Otra,2012,90.1417026535575,1,1,1,1
Otra,2013,129.161440085593,5,1,1,4
Otra,2014,130.112657343515,3,1,1,1
Otra,2015,98.1523035959695,5,1,1,1
Otra,2016,99.659901907716,1,1,1,1
Skienselva,1990,93.9222301987446,2,1,1,2
Skienselva,1991,88.8018082701576,4,1,1,4
Skienselva,1992,62.214727206615,5,1,5,NA
Skienselva,1993,112.197162915508,5,1,1,5
Skienselva,1994,112.763694354737,5,1,4,4
Skienselva,1995,127.653098095604,6,1,1,4
Skienselva,1996,63.1722451320728,1,1,1,NA
Skienselva,1997,61.0018711677019,5,1,3,NA
Skienselva,1998,101.423257864054,5,1,1,1
Skienselva,1999,104.293889984936,4,1,1,4
Skienselva,2000,101.725584404677,5,1,1,4
Skienselva,2001,132.164246111449,5,1,1,1
Skienselva,2002,119.726694695753,5,1,1,5
Skienselva,2003,109.07630747143,5,1,4,5
Skienselva,2004,91.9603653593655,5,1,1,4
Skienselva,2005,79.5236888134347,1,1,1,NA
Skienselva,2006,108.25614589693,5,1,1,5
Skienselva,2007,80.5638029365243,5,1,1,5
Skienselva,2008,167.340588970082,5,1,1,1
Skienselva,2009,108.386722695419,4,1,1,4
Skienselva,2010,90.3678200264824,5,1,1,5
Skienselva,2011,75.8279112053343,4,1,1,NA
Skienselva,2012,84.3333912846883,3,1,1,3
Skienselva,2013,135.049924069765,5,1,1,5
Skienselva,2014,106.396200150443,5,1,1,1
Skienselva,2015,87.3681932818038,5,1,1,1
Skienselva,2016,94.4884274362898,4,1,1,3
Storelva v/ Nes verk,1990,159.074496558997,2,1,1,2
Storelva v/ Nes verk,1991,77.7638934616336,4,1,1,NA
Storelva v/ Nes verk,1992,39.8708575663564,3,NA,NA,NA
Storelva v/ Nes verk,1993,46.582097719025,1,1,NA,NA
Storelva v/ Nes verk,1994,214.85913946145,4,3,4,4
Storelva v/ Nes verk,1995,98.3706244887393,4,1,1,4
Storelva v/ Nes verk,1996,75.4154578250187,4,4,4,NA
Storelva v/ Nes verk,1997,58.5872683936214,3,2,NA,NA
Storelva v/ Nes verk,1998,106.154080888926,4,1,1,1
Storelva v/ Nes verk,1999,125.100617094326,4,1,1,4
Storelva v/ Nes verk,2000,61.1975202701661,4,4,4,NA
Storelva v/ Nes verk,2001,134.739831988247,4,1,1,1
Storelva v/ Nes verk,2002,76.7760919014486,5,2,2,NA
Storelva v/ Nes verk,2003,90.459886277948,5,1,1,4
Storelva v/ Nes verk,2004,96.9428709243424,4,1,3,4
Storelva v/ Nes verk,2005,44.5493283654334,1,1,NA,NA
Storelva v/ Nes verk,2006,149.777732071673,5,4,4,4
Storelva v/ Nes verk,2007,92.1378600851019,3,1,1,3
Storelva v/ Nes verk,2008,127.743207953752,1,1,1,1
Storelva v/ Nes verk,2009,144.989419239083,4,1,3,4
Storelva v/ Nes verk,2010,98.197890706029,4,3,4,4
Storelva v/ Nes verk,2011,81.2878954726981,4,3,4,4
Storelva v/ Nes verk,2012,50.7312197687813,4,3,NA,NA
Storelva v/ Nes verk,2013,116.78672517221,5,1,4,4
