"";"DCA1";"DCA2";"DCA3";"DCA4";"Art"
"Abra nitida";1,56671995684458;-0,702852987073858;-1,5426608602173;0,150551919007869;"Abra nitida"
"Amaeana trilobata";1,22767847927471;4,58043323045126;-0,475081569469567;-2,453167759721;"Amaeana trilobata"
"Amphictene auricoma";0,485972780770571;-2,28442876416829;3,806597910539;4,44611037419309;"Amphictene auricoma"
"Amphilepis norvegica";1,94687929262068;0,503808609450304;-0,446219879466577;0,926144598021195;"Amphilepis norvegica"
"Amphiura chiajei";0,127841283725852;0,110612659605608;0,00635241427572214;-0,169212077840663;"Amphiura chiajei"
"Amphiura filiformis";1,40508519711418;0,110612659605607;0,00635241427572214;-0,169212077840663;"Amphiura filiformis"
"Anobothrus gracilis";0,519049059862965;-0,810482255213142;6,09204928462199;-2,02906989701272;"Anobothrus gracilis"
"Brada villosa";2,03471410801405;0,792797542735882;0,561870384995295;-0,465472765904414;"Brada villosa"
"Brissopsis lyrifera";1,63925639344376;0,659923775823213;5,66548897369771;-6,18402376055678;"Brissopsis lyrifera"
"Caudofoveata indet";0,961357084778197;0,333374949594582;-0,425701197941395;-1,31909061614298;"Caudofoveata indet"
"Caulleriella sp.";2,12160768594369;-0,979034678252381;0,408224226405137;-0,0879973837317052;"Caulleriella sp."
"Ceratocephale loveni";0,045740669313059;1,16692776427148;1,5400628602619;-0,680383394934119;"Ceratocephale loveni"
"Chaetozone setosa";0,32327449267102;-1,64637422249971;-0,848760769965089;-0,638500994341427;"Chaetozone setosa"
"Cirratulidae indet";2,34650014427906;0,062363386770442;0,403434965303824;0,241752078737423;"Cirratulidae indet"
"Corbula gibba";0,127841283725852;0,110612659605608;0,00635241427572214;-0,169212077840663;"Corbula gibba"
"Cossura longocirrata";-0,62508674334509;-1,15674572136198;-0,208957550978173;-3,91518535466693;"Cossura longocirrata"
"Cuspidaria obesa";1,25673682521312;0,787550237355197;-0,222351304987128;-1,93565256303866;"Cuspidaria obesa"
"Cylichna alba/cylindracea";0,127841283725852;0,110612659605608;0,00635241427572214;-0,169212077840663;"Cylichna alba/cylindracea"
"Diastyloides serratus";2,13589702110547;2,99580335558211;5,20366318528975;-4,03246661050338;"Diastyloides serratus"
"Diplocirrus glaucus";-0,563721275410733;-2,59331752852338;-1,05924372447287;-0,392495891739531;"Diplocirrus glaucus"
"Drilonereis filum";-1,30119977084336;-0,733660272372764;0,180699526470485;-2,29960324664443;"Drilonereis filum"
"Echinocardium cordatum";0,0261447256676655;-0,59998115746378;0,68001368426998;-0,70747019870951;"Echinocardium cordatum"
"Ennucula tenuis";1,23517642699417;-0,0657356052637709;-0,388469582596281;-1,57078889463152;"Ennucula tenuis"
"Eriopisa elongata";1,58771240859947;0,627571412502763;-0,295221228679986;0,178844813906879;"Eriopisa elongata"
"Euclymeninae indet";2,61879463928644;-3,34990026201134;-4,49780961341962;1,77043969431341;"Euclymeninae indet"
"Eudorella emarginata";0,803956520134173;-1,36906178869705;-1,09759085846331;-3,03283191755424;"Eudorella emarginata"
"Exogone sp.";-0,550158530523245;0,347803553737925;-1,67363960848652;-1,37475512162812;"Exogone sp."
"Galathowenia oculata";-0,73721561702854;-2,93349798354991;1,38611720398257;4,10635306351583;"Galathowenia oculata"
"Glycera alba";0,361326821024546;-1,38306230902024;-3,68467107484398;1,04464245883775;"Glycera alba"
"Glycera unicornis";-1,49789967337091;2,30610100155037;-0,341364600491353;-1,89503728671621;"Glycera unicornis"
"Glyphohesione klatti";-0,0667263067961024;0,258196484506115;-4,17053117801775;0,359131966072918;"Glyphohesione klatti"
"Golfingia sp.";-0,710233319036442;-1,97718378053689;0,872105139936154;-1,31933410276055;"Golfingia sp."
"Goniada maculata";-1,02008991278516;-0,999214606063897;-1,80187299548137;-2,92757352781628;"Goniada maculata"
"Harmothoe sp.";-0,473524243951582;1,91432231996163;-0,859000198052026;-2,47513655762577;"Harmothoe sp."
"Heteromastus filiformis";-1,21840839087006;-0,10051124496382;-0,272396963965084;-0,557525796670742;"Heteromastus filiformis"
"Heteromastus sp.";-0,113244347703559;1,23629936626522;-4,23590450422709;-2,70684171114815;"Heteromastus sp."
"Hyala vitrea";0,866216150078429;2,45863798829033;1,5803123954004;-1,52652975141741;"Hyala vitrea"
"Kelliella miliaris";2,2963661068284;1,69322161333676;-0,238599700901;2,11115811308001;"Kelliella miliaris"
"Kurtiella bidentata";2,70513328173985;-2,29977674793246;-3,4321236380303;0,7268904927607;"Kurtiella bidentata"
"Labidoplax buskii";-0,343585174306124;-0,955690341019787;0,614902714342944;-0,288221116965105;"Labidoplax buskii"
"Laonice cirrata";-0,586340961287765;1,17922678098133;-0,391614892378546;-2,23986689421293;"Laonice cirrata"
"Leucon (Leucon) nasica";0,0977907605861202;1,31257929321586;1,37202772227756;2,57811723520692;"Leucon (Leucon) nasica"
"Levinsenia gracilis";-0,238810554766606;-0,415205962299043;-1,73912802587244;-1,80278873892206;"Levinsenia gracilis"
"Lumbrineris sp.";0,034113766115635;0,915540049642892;-0,28139803824984;0,408441509353256;"Lumbrineris sp."
"Magelona sp.";0,127841283725852;0,110612659605608;0,00635241427572214;-0,169212077840663;"Magelona sp."
"Melinna cristata";0,566280163427146;0,235056536807695;-0,880465143856241;-0,803203924312594;"Melinna cristata"
"Mendicula ferruginosa";1,14843340938433;0,882981012792955;2,35017266098394;-0,949933226559438;"Mendicula ferruginosa"
"Myrtea spinifera";0,127841283725852;0,110612659605608;0,00635241427572214;-0,169212077840663;"Myrtea spinifera"
"Nemertea indet";0,288444222643347;0,27588735480693;-1,22799399085613;0,924259662654962;"Nemertea indet"
