"";"DCA1";"DCA2";"DCA3";"DCA4";"Art"
"Abra nitida";-1,29998936301976;0,358507130357493;-0,161041751145155;-0,632092386217387;"Abra nitida"
"Amaeana trilobata";1,29856574012651;-0,43681763803116;-0,61681288470602;1,5985897873346;"Amaeana trilobata"
"Amphictene auricoma";0,236850062722437;1,90068446263456;0,503781332389737;0,214392129802084;"Amphictene auricoma"
"Amphilepis norvegica";-0,0355159898371782;-0,0548912654970919;-0,0884059123113921;0,469511449467189;"Amphilepis norvegica"
"Amphiura chiajei";1,25248586806911;2,16624281609775;1,63103245234689;0,11852748535518;"Amphiura chiajei"
"Amphiura filiformis";1,93691833275276;0,923053783803704;1,29039575539347;-1,61385277683603;"Amphiura filiformis"
"Anobothrus gracilis";1,31100328702906;2,09664645745593;0,383886841243942;-1,07327104725433;"Anobothrus gracilis"
"Brada villosa";2,13469915777823;0,362375797437786;1,78923231387688;1,0591251785285;"Brada villosa"
"Brissopsis lyrifera";0,971069971823643;-0,815724787569122;-0,753005048331296;1,113159942253;"Brissopsis lyrifera"
"Caudofoveata indet";1,18207490712821;-0,456579901016351;1,16651602015737;1,33596550127921;"Caudofoveata indet"
"Caulleriella sp.";-0,0355159898371782;-0,0548912654970919;-0,0884059123113921;0,469511449467189;"Caulleriella sp."
"Ceratocephale loveni";1,91994559451035;0,011517331835842;-0,17140456696848;-1,39659963734888;"Ceratocephale loveni"
"Chaetozone setosa";-0,277657209656695;0,668999608529383;-1,03481442197581;-0,172842992468668;"Chaetozone setosa"
"Cirratulidae indet";1,22649771457429;0,216639861378412;0,0115102838967532;-0,84428460672783;"Cirratulidae indet"
"Corbula gibba";-1,30247135314916;0,421258622441431;-0,706010675153361;0,449007610015886;"Corbula gibba"
"Cossura longocirrata";0,960486333387616;-0,555522106349836;-1,35204210101249;-0,740311686175024;"Cossura longocirrata"
"Cuspidaria obesa";0,435517631336452;0,227155248060726;-0,658051356349545;-1,08491697701724;"Cuspidaria obesa"
"Cylichna alba/cylindracea";-0,329506634409705;-0,949920016713822;0,466474123420588;0,766416259817852;"Cylichna alba/cylindracea"
"Diastyloides serratus";-0,0355159898371782;-0,0548912654970919;-0,0884059123113921;0,469511449467189;"Diastyloides serratus"
"Diplocirrus glaucus";0,384961698096386;1,01529810727098;0,310196644744071;-1,24150935983062;"Diplocirrus glaucus"
"Drilonereis filum";0,272100423855501;-1,87905250633597;0,0935363665876622;0,658006862580102;"Drilonereis filum"
"Echinocardium cordatum";1,98074124507625;-0,773349507135385;1,46501178491622;-0,559374989640281;"Echinocardium cordatum"
"Ennucula tenuis";-1,75155546914828;-0,12132151174485;-0,218258681426063;0,443214393595075;"Ennucula tenuis"
"Eriopisa elongata";1,65390866017416;2,47062933448485;0,155661466424851;2,70436098902843;"Eriopisa elongata"
"Euclymeninae indet";1,12326075012613;2,38447572663795;-0,941823542325553;-1,35605168515736;"Euclymeninae indet"
"Eudorella emarginata";1,41527701378658;2,15068859097743;-0,894949430390043;3,39418145323703;"Eudorella emarginata"
