River_type,Year,Quarter,TrspTot_TOTN,TrspTot_NO3-N,TrspTot_TOTP,TrspTot_TOC,DisTot
Distant,1990,1,444040.738941933,293577.398724302,25023.6740216208,4836650.77907123,904451591.335296
Distant,1990,2,480702.668229434,296806.968077272,12189.8970494373,10308694.7224107,1242629949.22618
Distant,1990,3,355320.189494836,200115.468202971,8109.34184294605,6807285.66783181,1031138259.37818
Distant,1990,4,327741.697315866,220206.055587989,5928.50515745823,3644288.39505016,776990879.110785
Distant,1991,1,387902.544510908,267368.513422515,14686.301095911,3540512.78299001,711856944.863835
Distant,1991,2,415895.99048512,249909.244328356,11652.1001336728,7836813.5809252,914883212.390193
Distant,1991,3,229706.728576742,129896.559022729,5301.27062060626,4278467.40479541,602820977.453029
Distant,1991,4,350932.489994125,239935.833148573,8019.80193087564,2107330.92399958,652257461.356184
Distant,1992,1,314522.581914833,228065.771404939,6908.01961224023,1667202.09856823,591734445.822433
Distant,1992,2,465755.313445277,301592.395715585,14216.5692040118,4118283.24917885,961585971.109024
Distant,1992,3,288951.2692816,163038.199421057,7682.76763503418,2494187.64771639,816500250.788095
Distant,1992,4,559340.053273,399841.907681773,17223.4326858852,3534724.90420805,830324121.224102
Distant,1993,1,359317.032839575,245222.717603721,13046.343901354,2575904.02279434,722637668.279605
Distant,1993,2,504027.964816112,323856.074918322,10030.8249129264,3817144.37875413,1187788521.22934
Distant,1993,3,407570.674501574,210815.768077061,8012.88482882031,3322745.92391603,1088455867.43543
Distant,1993,4,526399.08827174,337190.776522511,12470.8392690998,3529353.52310044,873016957.504725
Distant,1994,1,316909.613415341,216835.031376609,6047.6005862301,2541674.70552551,638040243.242096
Distant,1994,2,647618.266996596,395308.206383273,15794.0633457236,5589715.72857805,1328369381.51518
Distant,1994,3,478127.50319227,306901.190840266,7482.07894919759,4040415.51826426,964398778.097951
Distant,1994,4,383465.03231582,262732.80757997,5420.74531439149,2763903.74041794,755198320.938232
Distant,1995,1,428237.705893779,301379.425888985,10482.2029108744,2530476.89944532,753325430.673146
Distant,1995,2,921396.633251191,585375.809814017,46989.0770577795,7477611.53409138,1798130290.16178
Distant,1995,3,327000.173716886,181805.417748658,6948.1746397401,2614997.50061438,811873794.344193
Distant,1995,4,281322.117087763,183380.614870969,3954.53420309697,2001221.22915925,645666972.415849
Distant,1996,1,228119.264377184,151732.397807539,2966.81789163989,1920625.23936586,538700104.801537
Distant,1996,2,471825.116477722,297226.222216947,14748.2101283198,3625360.80423029,813374278.713451
Distant,1996,3,273172.769230563,162647.15372774,4703.29462512352,2242434.3812298,589045236.524634
Distant,1996,4,459762.30637125,313901.221395924,8825.09895748965,2822721.98835334,766296142.522894
Distant,1997,1,331616.049709085,227302.092794808,13248.9004847147,2263386.41148723,625100735.1657
Distant,1997,2,556680.447806582,383155.205560975,13145.8830350213,4144735.94378807,1016220566.73951
Distant,1997,3,327159.210714725,177095.598831786,6457.48201618001,3706339.3041914,878674269.289638
Distant,1997,4,398897.578801505,268230.350173059,5636.57346333543,3054855.54518545,782991566.353135
Distant,1998,1,433971.544724722,320183.79486023,7133.54538074941,2890541.75003854,768458036.454551
Distant,1998,2,584488.831151638,368167.93875398,11777.1485849553,5452228.76173982,1329133142.26379
Distant,1998,3,476288.492630109,225658.183112827,9284.20760874259,4381552.29656728,1091274405.6891
Distant,1998,4,444579.992707283,273974.009602608,7247.68104566609,3065563.31510901,904836521.650307
Distant,1999,1,341307.799252472,254759.958902477,3917.75192122536,2044229.03769671,723250962.39898
Distant,1999,2,701111.069054116,417564.209295548,10116.0307145754,5857868.21963063,1543229788.83158
Distant,1999,3,425849.125574886,236975.332302897,6261.13282745892,3205261.9419669,930590093.69056
Distant,1999,4,520133.475835796,314270.437718492,5380.57685226307,3341056.09789807,851201934.724149
Distant,2000,1,432718.392336703,264886.383149343,4731.96650910008,2253212.54721611,751457611.262293
Distant,2000,2,652591.807940908,350397.598936064,9625.399330068,5325538.19925696,1255181619.88042
