Year,Depth,Temperatur,Salt,Tetthet,O2,O2_metning,PO4,NO2,NO3,NO2_NO3,NH4,SiO4,N_P,Klorofyll,TotP,TotN,POP,PON,POC,TSM,Siktdyp
1990,Deep,9.61132353894851,34.3173823637121,26.4525236241958,5.98000001907349,91.0929196675618,NA,0.346176472163814,3.23382352204884,3.58000000259456,0.88388887544473,3.56382353516186,5.93373332654729,0.368999999016523,NA,12.0284999847412,NA,0.680000007152557,5.00000002384186,0.447,8.23076923076923
1990,Intermediate,10.4936176889083,33.2268823174869,25.4295942643109,6.1316667397817,97.0431569417318,NA,0.22029411880409,3.17882351423888,3.39911761321127,1.05300000142306,3.14882351019803,6.52462108696208,0.807941176435527,NA,12.9429999828339,NA,1.10499999821186,7.72500003576279,0.4095,8.23076923076923
1990,Surface,10.797941235935,29.3434704799278,22.3308298821543,6.72714274270194,103.889391217913,NA,0.17469999961555,2.70080001752824,2.8755000166595,0.992000013651947,2.90560000270605,6.52951993703842,1.59803921568627,NA,14.9920689484169,NA,1.91666665673256,14.2066665967305,0.546666666666667,8.23076923076923
1991,Deep,8.41166666575841,34.3568095252627,26.6766035443261,6.03666663169861,93.2801836649577,0.435555550787184,0.451666663799967,5.65880948447046,6.11047616884822,0.714047621226027,4.23738095873878,9.81662156523728,0.347499996423721,0.675000003642506,15.6042856715974,0.0477777769168218,1.03052632824371,7.8171428385235,0.886111111111111,9.19444444444444
1991,Intermediate,9.27635714837483,32.3673569815499,24.9212061564128,6.14333333969116,97.6699902852376,0.324210530048922,0.321666668568339,3.97404762446171,4.29571430225457,0.768333338201046,3.01023806276776,8.73344947042919,1.05560975685352,0.624210528637234,14.6561903499422,0.0663157892658522,1.22918918487188,8.8086486442669,0.672631578947368,9.19444444444444
1991,Surface,9.61163495646583,29.2777619134812,22.4014231363932,6.42333335876465,102.382037862142,0.260344825877712,0.242539683563842,2.81365075222557,3.05619044199822,0.683015875400059,2.43539681368404,9.04219060852414,1.23079365728393,0.598965518433472,16.2709524366591,0.0844827588519146,1.6063333367308,11.4851612775557,0.751607142857143,9.19444444444444
1992,Deep,8.50236959042756,34.4475867229959,26.7280827397886,6.20772728053006,94.3526756980202,0.516086952193924,0.287173914358668,4.41695648950079,4.70413044483765,1.1772727212784,3.47543478530386,8.72303883407427,0.415416665608063,0.705227272754366,15.0411363081499,0.0472727273167534,0.872727272185412,5.53636369921944,0.7265,9.35
1992,Intermediate,9.12523913383484,33.0431086084117,25.4961236870807,6.39931817488237,97.5260424180464,0.366304345995836,0.220217389864442,3.45326086797792,3.67347827262205,1.01022727381099,2.5750000010366,10.0149970728418,0.67826087060182,0.568837206031001,14.818181774833,0.0636363629759713,1.35090908611363,8.08863642540845,0.501578947368421,9.35
1992,Surface,9.87314490304477,29.6507971114007,22.6875834948775,6.69590907385855,101.440643541741,0.262898550247369,0.125652173911964,2.91231885363442,3.03797101510176,0.563636367519697,2.52898551242939,14.1377659500509,1.49391304518002,0.544848484297593,15.8193939815868,0.0962121208395922,1.76363636508132,11.3895454370614,0.571803278688525,9.35
1993,Deep,7.64515907114202,34.3812952908603,26.8162605979226,6.22363636710427,92.6959159157493,0.571818183176219,0.193409090692347,6.51818180473691,6.71159090812911,0.636363643475554,4.11590911041607,10.9659034989097,0.454545462334698,0.74325581172178,15.5977272553877,0.0409090903333642,0.759090905839747,5.13636360385201,0.7835,8.70588235294118
1993,Intermediate,8.27531811865893,32.8513408574191,25.4850056388161,6.51954543590546,97.2711941112172,0.378636363470419,0.217499999498779,4.06363633495163,4.28113636323674,0.768181819976731,3.06363635645671,9.39693246646361,0.968181823295626,0.582954548299313,14.9181819395585,0.0643181813542138,1.10909090597521,7.50681819699027,0.695365853658537,8.70588235294118
1993,Surface,8.37671212716536,28.9397423773101,22.3834808234012,6.94075758529432,101.25810472893,0.254848485671435,0.136060604261178,3.03425758058262,3.17031818142895,0.634848488325423,3.1106060405798,9.59150682434891,1.91818181899461,0.544090910391374,16.6606059796882,0.114999999433304,1.61515151641586,12.1151515064817,0.810625,8.70588235294118
1994,Deep,7.23609088225798,34.104999889027,26.6468590389598,6.36046510518983,93.4684845680414,0.512499997900291,0.400227270639417,5.88409086790952,6.28431814367121,1.28604651415764,3.82045456225222,11.7591997168281,0.745454546064138,0.657045446336269,16.654545545578,0.0590909081087871,0.80952857213803,6.43636362119155,0.848260869565217,7.63157894736842
1994,Intermediate,8.15649995478717,32.7327045093883,25.3873974626715,6.53068182685158,96.8061298023571,0.36931818461215,0.329772725066339,5.64227263087576,5.97204542989758,1.5431818200106,3.32500000162558,14.9096547500654,1.09318182075566,0.559545457363129,17.4704545411197,0.0818181823177094,1.24186046664105,8.39545459097082,0.717380952380952,7.63157894736842
1994,Surface,8.98987881974741,29.237803141276,22.4530315977154,6.93257574601607,102.044385043058,0.250151513483037,0.237272727416095,4.11196971219033,4.34924241900444,1.32878787634951,2.96833332955386,23.48370435563,2.69090910075289,0.529696972081156,19.2606061444138,0.13303030282259,1.89076922994394,13.5272727572557,0.909848484848485,7.63157894736842
1995,Deep,7.66027270663868,34.2257272546942,26.6942521008578,6.04295454242013,89.8460828607733,0.49659090726213,0.257499999070371,5.7568182349205,6.01431821693074,1.33636363832788,3.75909090042114,11.8087474541231,0.354545461521907,0.647727273404598,15.611363584345,0.0549999997019768,0.731818181547252,5.72272729873657,0.659444444444444,7.38095238095238
1995,Intermediate,8.94095453890887,32.2261818105524,24.8932502919977,6.3502273126082,95.5807684118097,0.259090910538692,0.263181817633185,4.49181818267839,4.75500000183555,1.23636363819242,2.99318181892688,26.0795249288732,0.979545467109843,0.476363636214625,16.2659091082486,0.0918181810358709,1.32045454193245,9.41136366128922,0.7971875,7.38095238095238
1995,Surface,10.2102272293784,28.196742404591,21.4965253887754,6.82212120836431,103.068403879801,0.205606060554132,0.244393939801464,3.79348483918743,4.03787876648659,0.825757578692653,2.92121213516503,25.5088184367527,1.81515151126818,0.469696968568094,18.2227272987366,0.137727272160577,1.90615383570011,15.1893939538436,0.928913043478261,7.38095238095238
1996,Deep,7.85804551297968,34.4824319319292,26.8758670200001,6.00318184765902,90.0549732555043,0.545581391730974,0.183255812759663,5.54418598150098,5.72744182999744,1.05813953696295,3.56046513346739,9.48060418284217,0.283636370165782,0.744651158881742,15.1534883366075,0.0671428575047425,0.804761903626578,6.20476192519778,0.588947368421053,7.95454545454545
1996,Intermediate,8.11468183350834,32.6634088863026,25.3296063163064,6.50227272510529,96.2385162006725,0.372272726317698,0.154318181162869,3.40681821175597,3.56113638999787,1.12272727455605,2.79772728071971,7.87789426608519,1.13409091142768,0.613181817260655,15.3818182295019,0.0888636357743632,1.34090908210386,9.0954545844685,0.556153846153846,7.95454545454545
1996,Surface,8.0642575793194,29.2683941234242,22.5836522073457,7.06409085880626,101.68503558997,0.221666664562442,0.114091058846139,1.95772726723755,2.07181833591312,1.01363636508132,2.89848484516595,7.02239504321055,1.6181818350698,0.500923072833281,15.6753846975473,0.120757575908845,1.58484848972523,11.8212121544462,0.648245614035088,7.95454545454545
1997,Deep,7.91336369514465,34.2868406122381,26.6933825666254,6.34409092773091,94.9096135226163,0.397727272049947,0.312499998306686,3.72045457227664,4.03295455331152,0.938636362552643,3.02727273377505,9.46595197916031,0.350000003522093,0.593863636255264,14.0454546104778,0.0590476194130523,0.654545460234989,5.7909091331742,0.719090909090909,7.04761904761905
1997,Intermediate,8.69654549251903,33.2850454070351,25.7501854029569,6.53681819005446,98.712459564209,0.28045454680581,0.25250000112944,3.06590907072479,3.31840908561241,1.03863637115468,2.57954544370825,10.6897898153825,0.818181824616411,0.515681816095656,15.1318181428042,0.0840476190760022,0.927272726866332,7.95227272402157,0.606818181818182,7.04761904761905
1997,Surface,9.9126817927216,29.8993787765503,22.8314978426153,6.77878788023284,102.711897532145,0.22272727102267,0.199696969353791,2.68757579041024,2.88727273763807,0.837878797541965,2.55757575628884,10.6871142586072,1.1075757561308,0.494848481181896,15.823077069796,0.110793650741615,1.40454545842879,10.5757575938196,0.667424242424242,7.04761904761905
1998,Deep,9.00252379689898,34.0842622121175,26.3539752960205,6.05809523945763,92.685662769136,0.451428571627254,0.302142857174788,4.64761910445633,4.94976194060984,0.697368423209379,3.6957143062637,10.1659494241079,0.676190483073393,0.654249999672174,14.4100000143051,0.0581428569109578,0.780000011622906,5.56499999761581,0.72,7.26666666666667
1998,Intermediate,9.98416667892819,32.8593571980794,25.1993152073451,6.23428568385896,96.3936551411947,0.306904758415407,0.28904761737656,3.0076190728162,3.29666667236459,0.876315792532344,2.93261905653136,9.97954259599958,1.26666667596215,0.562999998033047,14.8050000667572,0.0935000000521541,1.02307692170143,7.23589740655361,0.627272727272727,7.26666666666667
1998,Surface,10.0795079299382,29.5092540014358,22.5552200287107,6.65790321750026,101.428270524548,0.208870968030345,0.175322580481729,2.31870966236438,2.49403225498334,0.976785712875426,3.07048386515629,15.3826548111054,2.13548386745876,0.552542374295703,17.8101694624303,0.156271186420473,1.81355932304415,13.2271186254792,0.803404255319149,7.26666666666667
1999,Deep,8.70181394177814,34.3868608696516,26.6404843884845,6.13930234243703,93.4146339948787,0.448604648889497,0.273023255082757,5.19395352310913,5.46697679785795,0.837209312548471,4.00488371904506,11.3253747973331,0.354545459489931,0.656279064888178,16.7744186312653,0.0573913041178299,0.990476196720487,7.9238095056443,0.8495,6.42857142857143
1999,Intermediate,9.84563635154204,32.8949772661382,25.2410459518433,6.09954545714638,93.8029153997248,0.307500000450421,0.277045453136617,5.12954546849836,5.40659090131521,1.06363636864857,3.43863639235497,24.5390234372833,0.820454546673731,0.53045454011722,17.8909089998765,0.0834090909497304,1.18409090692347,9.05000003901395,0.722954545454545,6.42857142857143
1999,Surface,10.4534242640842,28.7981515075221,21.9002221136382,6.58287878469987,99.7975137883967,0.208939390877883,0.195757574288908,4.06893939976439,4.26469696437319,0.977272732578444,3.26363636790351,38.1172034090215,2.03030305039702,0.508939394896681,20.3681819511182,0.146833332311926,2.06515151533214,15.706060554042,0.992727272727273,6.42857142857143
2000,Deep,9.14140906117179,34.1312047784979,26.3741468949751,6.0101934366448,92.174429250318,0.405915595083074,0.278864043341442,3.89836050840941,4.17722453922033,1.19090909460051,3.60127179731022,9.58703556927768,0.393098397011107,0.580227276818319,15.4977273074063,0.0665217390202958,1.0363636450334,7.95454549789429,1.25526315789474,7.41666666666667
2000,Intermediate,10.373770882686,32.6646874745687,24.9972534577052,6.15404360345069,95.9692616564162,0.286628983022335,0.205480394070037,3.34448816693233,3.54996854703253,1.19166665772597,3.09098965674639,13.6014606853326,0.773044358318051,0.489166667064031,15.5375000039736,0.0870833337151756,1.20833333581686,9.36458337306976,0.820416666666667,7.53846153846154
2000,Surface,11.2551944553852,27.710430516137,20.9921701086892,6.54143641700207,100.995327049578,0.210278395640974,0.172241569018095,2.77952492594098,2.95176648317526,1.21805555632131,3.57155599186404,31.484130187581,1.69491472798917,0.495138888971673,17.9458332591587,0.150833332859394,2.08888886703385,16.8736111256811,1.07180555555556,7.53846153846154
2001,Deep,8.8131136785854,34.1479776555842,26.4336422139948,6.05489095052083,92.5703570048014,0.416568102145737,0.253571981162002,4.32634761794047,4.57991961051117,1.1704545581544,3.76519973169674,9.95385912060738,0.43557866449867,0.582954546267336,16.4568182121624,0.0713636365465142,1.25909091125835,10.0909091125835,0.87,7.3125
2001,Intermediate,9.52631823583083,32.681340564381,25.121328310533,6.38012939407712,97.9777855646043,0.306492579084906,0.246977382699366,3.33375855907798,3.58073592152108,1.20909090695733,3.05177313631231,10.4058127240701,1.10946699533434,0.50545454567129,16.2659091082486,0.103409091137688,1.74318180368705,12.4409090714021,0.765952380952381,7.3125
2001,Surface,9.64248482747511,28.8001971389308,22.0041816306837,6.78681927635556,102.057293967595,0.209390646665159,0.158405263879986,2.44902993222191,2.60743521447435,0.892424245110967,3.20908423174511,10.4338011840979,2.10493668015041,0.49893939291889,18.3878787936586,0.152727272813067,2.68030302362009,19.1409089998765,0.9475,7.3125
2002,Deep,8.20795239721026,34.2417142958868,26.6099668230329,6.12639940352667,92.0961759658087,0.487939470935436,0.270116775584895,6.35142522482645,6.62154199395861,0.664878047820998,4.61268370492118,13.1494645504724,0.537255449309236,0.738809519580432,17.4095238503956,0.0685714287239881,1.05714285515604,8.41428565979004,0.967,7.33333333333333
2002,Intermediate,9.72473812103271,32.6641186759585,25.0616532734462,6.28436543827965,95.9860196794782,0.303198245664438,0.252456243726469,4.79754207620308,5.04999832347745,0.863809526676223,3.54607968103318,16.9762964418956,0.932463901028747,0.553095236420631,17.1904762131827,0.100714285857975,1.804761889435,12.5428570225125,0.87525,7.33333333333333
2002,Surface,10.4794677419047,28.2294191545056,21.4373994950325,6.77825024771312,102.572480970813,0.232147808438019,0.133224674958795,3.88174770648281,4.01497239282443,0.818888888354339,3.47384340517105,18.3082237149042,1.74707856395888,0.547460320450011,18.360317502703,0.15142857141438,2.46349204154242,18.8968253892566,0.900677966101695,7.33333333333333
