Year,Quarter,Depth,Temperatur,Salt,Tetthet,O2,O2_metning,PO4,NO2,NO3,NO2_NO3,NH4,SiO4,N_P,Klorofyll,TotP,TotN,POP,PON,POC,TSM,Siktdyp
1990,1,Deep,6.82700002193451,33.7394990921021,26.4489703178406,NA,NA,NA,0.650000017601997,7.52499997615814,8.17500007152557,NA,5.31000006198883,10.8658556938171,0.495000004768372,NA,NA,NA,NA,NA,NA,5
1990,1,Intermediate,6.50700008869171,33.0070009231567,25.9119610786438,NA,NA,NA,0.505000009201467,8.04749989509583,8.55249989032745,NA,6,10.8290765285492,0.45499999076128,NA,NA,NA,NA,NA,NA,5
1990,1,Surface,5.99050005276998,31.8170000712077,25.0396229426066,NA,NA,NA,0.502500000099341,8.50333340962728,9.00583338737488,NA,6.74166663487752,11.7127698262533,0.633333335320155,NA,NA,NA,NA,NA,NA,5
1990,2,Deep,6.74962508678436,34.0571250915527,26.7097005844116,6.8050000667572,99.3360710144043,NA,0.248750003054738,7.86249995231628,8.1112499833107,NA,3.77125003933907,12.7406828403473,0.354999994859099,NA,NA,NA,NA,NA,NA,7
1990,2,Intermediate,6.85025000572205,32.8393752574921,25.7351233959198,6.9850001335144,101.021892547607,NA,0.198749998351559,7.80624997988343,8.00499991327524,NA,3.85499992966652,13.2354219555855,0.74125000461936,NA,NA,NA,NA,NA,NA,7
1990,2,Surface,7.65983331203461,29.0618332227071,22.6478006045024,7.31999985376994,103.704073588053,NA,0.169166665369024,6.44666671038916,6.61583338336398,NA,3.91916666428248,13.0681665341059,1.28750000645717,NA,NA,NA,NA,NA,NA,7
1990,3,Deep,10.4190999031067,34.6341999053955,26.5798858642578,5.68499994277954,85.8593559265137,NA,0.297000002861023,1.07900000810623,1.3759999871254,1.32333331306775,2.73199998140335,3.48911670446396,0.280000001192093,NA,11.4412500858307,NA,0.700000002980232,5.77499997615814,0.465,9.6
1990,3,Intermediate,12.4854001045227,33.3985000610352,25.2323677062988,5.90499997138977,92.8572540283203,NA,0.197000002115965,0.833000002801418,1.02999999634922,1.03999998886138,1.81800000667572,5.56363855600357,1.13599999547005,NA,14.081249833107,NA,1.66249998658895,12.0250000953674,0.4675,9.6
1990,3,Surface,15.4128001530965,28.7128663380941,21.0380523681641,6.30999994277954,102.296371459961,NA,0.0321428565574544,0.0435714279966695,0.07571428468717,0.526666670261572,0.661428576069219,5.01190485273089,2.13799999554952,NA,13.053636377508,NA,2.2833333114783,18.5583332379659,0.7225,9.6
1990,4,Deep,12.0057000160217,34.4133003234863,26.1280378341675,5.45000004768372,88.0833320617676,NA,0.410999993234873,0.473000019788742,0.884000009298325,0.771999987959862,3.43799996376038,1.93151059150696,0.333333333333333,NA,12.0829998970032,NA,0.660000014305115,4.34000010490417,0.424,8.25
1990,4,Intermediate,13.1803999900818,33.4140995025635,25.1195461273193,5.50500011444092,97.2503242492676,NA,0.166999999992549,0.383000006526709,0.55000000372529,1.2590000115335,2.608999979496,1.46259580850601,0.814000004529953,NA,11.7870000839233,NA,0.750000005960464,5.15,0.374,8.25
1990,4,Surface,11.2949333826701,28.8741333007812,21.9060311635335,6.25499987602234,105.760387420654,NA,0.19666666649282,0.280666661883394,0.47733332850039,1.52800002420942,2.35200000405312,1.71611966292063,1.96399999856949,NA,16.0059999465942,NA,1.85333333015442,12.5399999300639,0.460666666666667,8.25
1991,1,Deep,7.56737500429153,34.1328749656677,26.6366727352142,NA,NA,NA,0.503749993629754,6.05249984562397,6.55625000596046,0.806250005960464,5.23000004887581,8.28961375781468,NA,NA,15.5774999856949,NA,0.793333331743876,6.82499992847443,0.995,8
1991,1,Intermediate,6.09712499380112,32.5279994010925,25.5543956756592,NA,NA,NA,0.42875000461936,6.74250009655952,7.17124998569489,0.621249996591359,5.46749994158745,9.53857684135437,1.15500001236796,NA,16.5012496709824,NA,1.03833331664403,8.12666682402293,0.84375,8
1991,1,Surface,4.73574997981389,30.4826668103536,24.0855976740519,NA,NA,NA,0.474166671435038,6.7266663958629,7.20083315173785,0.547500008096298,6.04249997933706,10.053115606308,1.22083333134651,NA,18.8183334668477,NA,1.04500000675519,8.17833336194356,0.886666666666667,8
1991,2,Deep,5.98170003890991,34.6477001190186,27.2709562301636,6.67750000953674,95.6871280670166,NA,0.201999998837709,10.1309999465942,10.3329998970032,0.404000005871057,5.63800005912781,13.4569205284119,0.599999984105428,NA,18.0260000228882,NA,1.50250003486872,8.84599995613098,0.762,8.33333333333333
1991,2,Intermediate,4.93870004415512,32.0148998260498,25.3000169754028,7.03250002861023,100.255153656006,NA,0.202999997884035,7.20099996328354,7.40400009155273,0.718000017106533,3.15599994659424,16.2497084617615,1.20600000321865,NA,17.4229998588562,NA,0.992500007152557,6.86249989271164,0.538,8.33333333333333
1991,2,Surface,4.47700002193451,27.8361335754395,22.0115933736165,7.43333331743876,105.793650309245,NA,0.114666667083899,3.27800003290176,3.39266666968664,0.962000001470248,1.87466668089231,18.1789995193481,1.9893333474795,NA,17.8426666895549,NA,1.88399999936422,12.6706667423248,0.707333333333333,8.33333333333333
1991,3,Deep,8.42174994945526,34.434583346049,26.7520538965861,6.26583325862885,95.2843920389811,0.427499994635582,0.315833330154419,3.79833331207434,4.11416664719582,1.26166666671634,3.19666662812233,8.0290552576383,0.230000004172325,0.717500001192093,16.7249999046326,0.0649999994784594,0.976666676501433,8.36500000953674,0.89,10.3333333333333
