"Year";"DCA1";"DCA2";"DCA3";"DCA4"
1994;-0,333959297320333;0,00856026577137853;-0,0993207522313009;-0,0659527697012999
1995;-0,452385648429074;0,120517769109963;0,0754222753526073;0,00109297259242072
1996;0,145794327058295;-0,178957150578634;0,155018427787014;0,0204476497029868
1997;0,337581163481473;-0,257819212820982;0,19906102640845;-0,0253842456648928
1998;0,32222679455461;-0,252296688024928;0,262891379575918;-0,0890869181139414
1999;0,241705001128954;-0,269460665527974;0,152147272226142;-0,0455951819511351
2000;0,0702972374530479;0,0330999564723848;0,173570400069915;0,158268319712746
2001;1,99251739306971;0,151979862364618;0,191323115660271;0,121296082366362
2002;-0,161388733904273;0,13444270053469;0,225792047766264;0,18679342778059
2003;-0,111228155776411;-0,186910457992017;-0,100353033166582;-0,109280214484703
2004;0,345298321768372;1,02481983088491;0,151885550764207;0,651781967930914
2005;-0,91484714128146;0,196493354581533;-0,564410670306539;-0,134491412696331
2006;-0,352908798759315;-0,00423516696451814;-0,20533295168446;-0,0740937499803267
2007;-0,684356699930813;0,107766725904435;-0,427149184193284;-0,134695376094062
2008;-0,348791243607134;0,127794312855727;0,114069074336049;0,0989082669968008
2009;-0,0335685051744742;0,355219340879051;-0,0237639748563964;0,0551782705083877
2010;-0,246579357161185;0,265886648480765;0,699676640589081;0,378951077208584
2011;-0,80435228544592;0,190074476818046;-0,370998581789919;-0,0528744817232237
2012;0,413439774872278;1,30983160765824;0,336960966323655;1,02938090202508
2013;0,160102480513555;-0,242910722852116;0,07406049216602;-0,0494414482258393
2014;0,211764964483939;-0,00842720792310953;0,263287117570706;0,151564029655174
2015;0,157067851841242;0,0688290484161314;0,224037351515255;0,246095363099941
2016;0,360005252890971;-0,221277016565085;0,252147577854745;0,0724074750119579
